org,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,total,percent_change_16to24,annual_avg_14to23,annual_avg_13to17,latest_update
abcnews,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,52.0,25.0,18.0,28.0,14.0,25.0,10.0,4.0,15.0,0.0,207.0,-0.5,18.8,13.6,2025-12-18 03:03:06+00:00
abcotvdata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,39.0,16.0,7.0,4.0,0.0,79.0,inf,6.8,0.0,2026-01-04 13:05:37+00:00
accurat,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,6.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,29.0,-0.5,2.8,1.4,2025-09-12 10:26:23+00:00
aftenposten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,,0.5,0.0,2023-07-04 09:16:47+00:00
ajam,0.0,0.0,0.0,0.0,0.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,1.8,4.0,2025-08-26 21:34:59+00:00
ajinteractive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.3,0.6,2023-01-28 17:32:51+00:00
alephdata,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,6.0,9.0,3.0,3.0,0.0,0.0,1.0,0.0,31.0,,3.0,0.8,2026-01-03 20:13:02+00:00
aljazeeraplus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.0,2025-10-02 21:49:09+00:00
ancir,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0,1.5,3.2,2025-11-25 17:55:37+00:00
animalpolitico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.0,2025-10-26 17:51:37+00:00
apmg,0.0,0.0,0.0,0.0,5.0,10.0,6.0,3.0,1.0,5.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,-1.0,2.7,5.0,2025-12-12 16:11:31+00:00
arizona-republic-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.3,0.0,2025-09-08 10:53:18+00:00
arizonadailystar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.2,0.2,2023-01-21 12:10:40+00:00
associatedpress,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,27.0,0.0,2.6,2.4,2025-12-25 12:11:29+00:00
axioscode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.0,2024-05-01 03:03:49+00:00
azpm,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,2025-12-04 18:47:45+00:00
badideafactory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,8.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,43.0,-0.8,4.0,3.0,2025-12-30 16:14:45+00:00
baltimore-sun-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,17.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,-1.0,6.9,8.8,2023-08-24 09:15:11+00:00
bangordailynews,0.0,0.0,0.0,6.0,0.0,0.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-1.0,1.9,3.8,2025-03-24 15:32:52+00:00
baycitizen,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,2024-06-13 05:46:44+00:00
bayerischer-rundfunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.0,2022-05-01 13:47:25+00:00
bbc-data-unit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,60.0,55.0,71.0,49.0,8.0,7.0,7.0,5.0,8.0,1.0,306.0,-0.8571428571428571,29.2,19.0,2026-01-02 15:23:17+00:00
bbc-news,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,2025-09-30 05:32:26+00:00
bellingcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,16.0,15.0,8.0,7.0,0.0,56.0,inf,4.1,0.0,2026-01-04 12:29:55+00:00
bergenstidende,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,16.0,-1.0,1.6,1.4,2025-09-03 10:54:32+00:00
bettergov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,,1.4,0.2,2025-10-16 08:33:07+00:00
biglocalnews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,9.0,4.0,0.0,7.0,0.0,34.0,,2.7,0.0,2026-01-03 02:51:27+00:00
bloomberg,0.0,0.0,0.0,0.0,3.0,1.0,5.0,15.0,18.0,13.0,11.0,12.0,9.0,10.0,9.0,10.0,6.0,11.0,0.0,133.0,-0.6666666666666666,11.2,10.4,2026-01-04 09:20:59+00:00
bloomberggraphics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,13.0,inf,0.9,1.2,2026-01-03 21:38:04+00:00
bostonglobe,0.0,0.0,0.0,2.0,3.0,3.0,13.0,27.0,19.0,18.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,95.0,-0.8947368421052632,8.5,16.0,2025-09-04 15:35:05+00:00
br-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,4.0,7.0,4.0,1.0,1.0,4.0,1.0,0.0,46.0,-0.6,4.1,4.0,2025-11-11 15:12:46+00:00
browninstitute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,17.0,-1.0,1.5,1.6,2025-05-08 16:12:57+00:00
buzzfeed,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-1.0,1.4,2.8,2026-01-02 02:33:31+00:00
buzzfeed-openlab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-1.0,4.0,8.0,2025-12-09 15:04:51+00:00
buzzfeednews,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,29.0,18.0,17.0,10.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,115.0,-1.0,11.5,15.0,2026-01-04 00:59:22+00:00
california-civic-data-coalition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.1,0.0,2022-04-22 07:52:01+00:00
calmatters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,5.0,4.0,0.0,20.0,inf,1.1,0.2,2025-12-18 23:18:35+00:00
canalplus,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,-1.0,2.6,3.4,2025-12-19 19:49:52+00:00
carolinadatadesk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,1.0,1.6,2021-10-31 04:12:10+00:00
cbcnews,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.5,1.0,2020-08-04 17:52:06+00:00
cbcrc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,6.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,75.0,-0.8333333333333334,7.0,12.8,2025-12-30 10:53:36+00:00
cbs-news-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,9.0,0.0,24.0,inf,0.5,0.0,2026-01-04 13:40:52+00:00
censusreporter,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,0.6,2.4,2026-01-03 17:37:55+00:00
chalkbeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,2.0,1.0,0.0,16.0,1.0,1.3,0.4,2025-12-12 20:19:03+00:00
chrondata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.2,2018-10-18 20:51:01+00:00
cirlabs,0.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,6.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,37.0,-1.0,2.7,4.2,2025-12-29 17:57:26+00:00
city-bureau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,18.0,7.0,1.0,3.0,8.0,11.0,3.0,0.0,60.0,4.5,4.6,1.2,2025-12-29 03:15:57+00:00
civica-digital,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-1.0,4.4,7.8,2025-09-27 15:33:06+00:00
civilbeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.2,0.4,2017-07-15 02:31:33+00:00
civio,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,16.0,11.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,-1.0,5.3,8.4,2025-12-05 15:02:20+00:00
comp-journalism,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,20.0,-0.8,1.9,2.0,2025-08-28 13:23:05+00:00
condenast,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,6.0,4.0,9.0,7.0,6.0,5.0,2.0,4.0,2.0,0.0,59.0,1.0,4.7,3.6,2025-12-30 19:30:50+00:00
consumer-reports-innovation-lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,,0.3,0.2,2025-12-17 09:03:36+00:00
consumerreports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,2025-12-22 22:51:07+00:00
coralproject,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,20.0,15.0,14.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,71.0,-0.95,7.0,9.0,2026-01-03 18:11:30+00:00
cornelldatajournal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,0.0,18.0,inf,0.1,0.0,2025-11-21 23:15:34+00:00
correctiv,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,13.0,20.0,3.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,73.0,-0.9230769230769231,7.2,12.0,2025-09-29 15:08:37+00:00
courierjournal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,1.9,1.0,2025-02-27 01:15:55+00:00
cronkite-news,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.1,0.2,2015-04-24 09:25:52+00:00
cunyjschool,0.0,0.0,22.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,0.3,0.6,2024-07-09 12:14:19+00:00
dailybeast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,-1.0,0.5,0.4,2026-01-04 00:27:25+00:00
dailycal-projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,15.0,10.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,-1.0,5.0,5.0,2026-01-03 20:42:10+00:00
dailykos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.5,0.8,2023-01-28 21:02:02+00:00
dallasmorningnews,0.0,0.0,0.0,0.0,1.0,0.0,8.0,14.0,33.0,21.0,10.0,7.0,3.0,0.0,6.0,4.0,2.0,4.0,0.0,113.0,-0.9393939393939394,10.6,15.2,2026-01-04 13:12:56+00:00
data-liberation-project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,6.0,1.0,0.0,24.0,inf,1.7,0.0,2026-01-04 13:41:35+00:00
datadesk,0.0,2.0,5.0,12.0,4.0,10.0,10.0,12.0,12.0,17.0,23.0,31.0,13.0,9.0,6.0,3.0,1.0,1.0,0.0,171.0,-0.9166666666666666,13.6,12.2,2026-01-04 10:05:01+00:00
datahub,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,-0.9411764705882353,2.9,5.0,2025-12-28 12:10:30+00:00
