org,year,count
abcnews,2014,1
abcnews,2015,7
abcnews,2016,8
abcnews,2017,52
abcnews,2018,25
abcnews,2019,18
abcnews,2020,28
abcnews,2021,14
abcnews,2022,25
abcnews,2023,10
abcnews,2024,4
abcnews,2025,15
abcotvdata,2021,13
abcotvdata,2022,39
abcotvdata,2023,16
abcotvdata,2024,7
abcotvdata,2025,4
accurat,2014,2
accurat,2015,1
accurat,2016,2
accurat,2017,2
accurat,2018,6
accurat,2019,6
accurat,2020,5
accurat,2021,3
accurat,2022,1
accurat,2024,1
aftenposten,2020,3
aftenposten,2022,1
aftenposten,2023,1
ajam,2013,2
ajam,2014,11
ajam,2015,7
ajinteractive,2015,1
ajinteractive,2016,2
alephdata,2014,1
alephdata,2017,3
alephdata,2018,5
alephdata,2019,6
alephdata,2020,9
alephdata,2021,3
alephdata,2022,3
alephdata,2025,1
aljazeeraplus,2021,2
ancir,2013,1
ancir,2014,8
ancir,2015,4
ancir,2016,2
ancir,2017,1
animalpolitico,2018,1
animalpolitico,2020,1
apmg,2012,5
apmg,2013,10
apmg,2014,6
apmg,2015,3
apmg,2016,1
apmg,2017,5
apmg,2018,3
apmg,2019,5
apmg,2020,3
apmg,2023,1
arizona-republic-data,2021,2
arizona-republic-data,2022,1
arizonadailystar,2012,1
arizonadailystar,2016,1
arizonadailystar,2019,1
associatedpress,2014,1
associatedpress,2015,2
associatedpress,2016,1
associatedpress,2017,8
associatedpress,2018,3
associatedpress,2019,4
associatedpress,2020,2
associatedpress,2021,1
associatedpress,2022,1
associatedpress,2023,3
associatedpress,2024,1
axioscode,2018,2
azpm,2012,13
badideafactory,2015,1
badideafactory,2016,5
badideafactory,2017,9
badideafactory,2018,8
badideafactory,2019,7
badideafactory,2020,7
badideafactory,2021,1
badideafactory,2022,1
badideafactory,2023,1
badideafactory,2024,1
badideafactory,2025,2
baltimore-sun-data,2015,9
baltimore-sun-data,2016,18
baltimore-sun-data,2017,17
baltimore-sun-data,2018,16
baltimore-sun-data,2019,7
baltimore-sun-data,2020,2
bangordailynews,2011,6
bangordailynews,2014,2
bangordailynews,2015,11
bangordailynews,2016,6
baycitizen,2011,4
baycitizen,2012,1
bayerischer-rundfunk,2021,2
bbc-data-unit,2016,35
bbc-data-unit,2017,60
bbc-data-unit,2018,55
bbc-data-unit,2019,71
bbc-data-unit,2020,49
bbc-data-unit,2021,8
bbc-data-unit,2022,7
bbc-data-unit,2023,7
bbc-data-unit,2024,5
bbc-data-unit,2025,8
bbc-data-unit,2026,1
bbc-news,2025,1
bellingcat,2020,4
bellingcat,2021,6
bellingcat,2022,16
bellingcat,2023,15
bellingcat,2024,8
bellingcat,2025,7
bergenstidende,2015,5
bergenstidende,2016,1
bergenstidende,2017,1
bergenstidende,2018,1
bergenstidende,2020,2
bergenstidende,2022,4
bergenstidende,2023,2
bettergov,2017,1
bettergov,2018,8
bettergov,2019,3
bettergov,2022,2
biglocalnews,2019,1
biglocalnews,2020,9
biglocalnews,2021,4
biglocalnews,2022,9
biglocalnews,2023,4
biglocalnews,2025,7
bloomberg,2012,3
bloomberg,2013,1
bloomberg,2014,5
bloomberg,2015,15
bloomberg,2016,18
bloomberg,2017,13
bloomberg,2018,11
bloomberg,2019,12
bloomberg,2020,9
bloomberg,2021,10
bloomberg,2022,9
bloomberg,2023,10
bloomberg,2024,6
bloomberg,2025,11
bloomberggraphics,2015,1
bloomberggraphics,2017,5
bloomberggraphics,2018,1
bloomberggraphics,2021,2
bloomberggraphics,2024,3
bloomberggraphics,2025,1
bostonglobe,2011,2
bostonglobe,2012,3
bostonglobe,2013,3
bostonglobe,2014,13
bostonglobe,2015,27
bostonglobe,2016,19
