organization,type,handle
ABC News (Australia),Newsroom,abcnews
ABC News (US),Newsroom,abcotvdata
Accurat,News Industry,accurat
Advocate (Baton Rouge),Newsroom,theadvocate
African Network of Centers for Investigative Reporting,News Industry,ancir
Aftenposten (Norway),Newsroom,aftenposten
AJ+,Newsroom,aljazeeraplus
AJAM,Newsroom,ajam
Al Jazeera Interactive,Newsroom,ajinteractive
American Public Media,Newsroom,apmg
Animal Politico,Newsroom,animalpolitico
Arizona Daily Star,Newsroom,arizonadailystar
Arizona Public Media,Newsroom,azpm
Arizona Republic,Newsroom,arizona-republic-data
Associated Press,Newsroom,associatedpress
Atlanta Journal-Constitution,Newsroom,newsappajc
Atlantic,Newsroom,theatlantic
Austin American-Statesman,Newsroom,statesman
Axios,Newsroom,axioscode
Bad Idea Factory,News Industry,badideafactory
Baltimore Banner,Newsroom,the-baltimore-banner
Baltimore Sun,Newsroom,baltimore-sun-data
Bangor Daily News,Newsroom,bangordailynews
Bay Citizen,Newsroom,baycitizen
Bayerische Rundfunk,Newsroom,bayerischer-rundfunk
Bayerische Rundfunk Data,Newsroom,br-data
BBC England Data Unit,Newsroom,bbc-data-unit
BBC News,Newsroom,bbc-news
BBC News Labs,Newsroom,bbc-news-labs
BBC R and D,Newsroom,bbcrd
BBC Visual Journalism,Newsroom,bbcvisualjournalism
Bellingcat,Newsroom,bellingcat
Bergens Tidende,Newsroom,bergenstidende
Better Govt Association,Newsroom,bettergov
Big Local News,News Industry,biglocalnews
Bloomberg,Newsroom,bloomberg
Bloomberg Graphics,Newsroom,bloomberggraphics
Bloomberg Media,Newsroom,bloombergmedia
Boston Globe,Newsroom,bostonglobe
Brown Institute,News Industry,browninstitute
Brown Institute Local News Lab,News Industry,localatbrown
Buffalo News,Newsroom,thebuffalonews
Business Insider,Newsroom,businessinsider
BuzzFeed,Newsroom,buzzfeed
Buzzfeed OpenLab,Newsroom,buzzfeed-openlab
BuzzFeedNews,Newsroom,buzzfeednews
California Civic Data Coalition,News Industry,california-civic-data-coalition
Calmatters,Newsroom,calmatters
Canal Plus (France),Newsroom,canalplus
Carolina Data Desk,News Industry,carolinadatadesk
CBC News,Newsroom,cbcnews
CBC Radio-Canada,Newsroom,cbcrc
CBS News,Newsroom,cbsnews
CBS News Data,Newsroom,cbs-news-data
Census Reporter,News Industry,censusreporter
Center for Investigative Reporting / Reveal,Newsroom,cirlabs
Center for Public Integrity,Newsroom,publici
Chalkbeat,Newsroom,chalkbeat
Charleston Post and Courier,Newsroom,postandcourier
Chicago Reporter,Newsroom,thechicagoreporter
Chicago Tribune News Applications Team,Newsroom,newsapps
Chronicle of Higher Ed / Philanthropy,Newsroom,chrondata
City Bureau,News Industry,city-bureau
Civica Digital,News Industry,civica-digital
CivilBeat (Honolulu),Newsroom,civilbeat
Civio,Newsroom,civio
Columbia Spectator,Newsroom,newsroomdevelopment
Conde Nast,Newsroom,condenast
Consumer Reports,Newsroom,consumerreports
Consumer Reports Innovation Lab,Newsroom,consumer-reports-innovation-lab
Coral Project,News Industry,coralproject
Cornell Data Journal,Newsroom,cornelldatajournal
Correct!v,Newsroom,correctiv
Cronkite News,Newsroom,cronkite-news
